statut_v2,categorie,document,fichier,chemin_archive_finale,pages,taille_mo,md5,decision,justification,action_suivante,archive_v2_note
Finalisé probable,C1 / contrôles,C1 - corrigé automatismes QCM,03_corrige_automatismes_C1_QCM_v2.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/03_corrige_automatismes_C1_QCM_v2.pdf,1,0.141,ce913666094a6a466a56c99b0cecf6ce,Conserver,Corrigé écrit associé à la v2.,,repris depuis v1
Finalisé probable,C1 / contrôles,C1 - feuille-méthode récurrence encadrement double,01_fm_recurrence_encadrement_double_v3.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/01_fm_recurrence_encadrement_double_v3.pdf,2,0.149,1b194585f525d292ed8e5abb4a9ad4a7,Promu depuis À vérifier,"C’est bien une feuille-méthode avec exemple rédigé, pas la feuille d’exercice guidé rejetée ; elle respecte les règles de rédaction C1.",Contrôle visuel final possible avant usage en classe.,repris depuis v1
Finalisé probable,CPGE,MP CCP,MP_CCP_FINAL_PASS19.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/CPGE/MP_CCP_FINAL_PASS19.pdf,164,0.986,e7fdcf2f88faef1d8ec8edc70ba6c426,Conserver,Nom FINAL_PASS19 ; bon candidat local.,Audit éditorial possible avant livraison externe.,repris depuis v1
Finalisé probable,Parcours lycée,Première spé - parcours second degré énoncé,parcours_revision_second_degre_premiere_enonces_v3.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_second_degre_premiere_enonces_v3.pdf,6,0.32,e00a4c50b785ffb69e50ca2547c25d11,Conserver comme meilleur énoncé local,"Version v3, intégrant le renforcement sur tableaux de signes/variations et l’exercice 4.",Corrigé à refaire : le v2 ne s’aligne pas.,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - géométrie corrigé,parcours_revision_geometrie_terminale_corriges_sujet3_aligne.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_geometrie_terminale_corriges_sujet3_aligne.pdf,7,0.296,c07f6aac435597c797ed29f71e05a234,Promu depuis À vérifier,Corrigé aligné avec le sujet 3 ; le sommaire correspond aux trois sujets de l’énoncé.,,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - géométrie énoncé,parcours_revision_geometrie_terminale_enonces_sujet3_aligne.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_geometrie_terminale_enonces_sujet3_aligne.pdf,7,0.309,7b09ce2d97a838c0484dc22ad02fe524,Promu depuis À vérifier,Le couple énoncé/corrigé sujet3_aligne est cohérent ; ce fichier corrige le problème d’alignement du sujet 3.,,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - parcours trigo/LGN énoncés,parcours_revision_trigo_lgn_terminale_enonces_annales2025_v2.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_trigo_lgn_terminale_enonces_annales2025_v2.pdf,9,2.037,88573ff055700e1fa8e1124dc46824b1,Conserver comme énoncé local,Version récente avec annales 2025.,Corrigé final non repéré dans l’archive.,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - probabilités corrigé,parcours_revision_probabilites_terminale_corriges-2.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_probabilites_terminale_corriges-2.pdf,11,0.33,e18c9ef38fb739e138fe70bf416e3710,Ajouter comme corrigé associé probable,La variante -2 conserve l’arbre partiellement complété conformément à la consigne de ne pas remplir les branches issues de O avant la question dédiée.,Contrôle visuel conseillé si usage immédiat.,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - probabilités énoncé,parcours_revision_probabilites_terminale_epure_recap_denombrement.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_probabilites_terminale_epure_recap_denombrement.pdf,11,0.452,82a57010d236aa15ee57f53a7397532a,Promu depuis À vérifier,"Version épurée avec récap dénombrement, 11 pages ; semble postérieure aux variantes sans note/arbre amélioré.",Associer au corrigé -2 retenu.,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - récap fonctions,parcours_revision_fonctions_carte_mentale_v15.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_fonctions_carte_mentale_v15.pdf,3,0.217,5fefd8c04e50db8ae6d394cbf5ad5c72,Conserver,Version la plus avancée de la série récap fonctions.,,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - récap géométrie espace,parcours_revision_geometrie_espace_carte_mentale_illustre_v13.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_geometrie_espace_carte_mentale_illustre_v13.pdf,1,0.816,4bb5ac5c960ad4d1f9876706d602bdbc,Conserver,Version la plus avancée de la série récap géométrie.,,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - récap probabilités 1 page,parcours_revision_probabilites_carte_mentale_1page_v8.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_probabilites_carte_mentale_1page_v8.pdf,1,0.168,1a784a4c9e03cbbcc8e377f9157860f7,Conserver,"Version v8 1 page, cohérente avec les ajustements sobres.",,repris depuis v1
Finalisé probable,Parcours lycée,Terminale - récap suites,parcours_revision_suites_carte_mentale_propre_v6.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_suites_carte_mentale_propre_v6.pdf,1,0.192,08449239530454473148bc50cc4aa438,Conserver,Version propre la plus avancée.,,repris depuis v1
Finalisé probable,Source / modèle,Terminale - top 100 type bac,top_100_questions_types_bac_2022_2025_version_frequences_reperees_corrigee_v16_tables_strict_fix.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/MODELES/top_100_questions_types_bac_2022_2025_version_frequences_reperees_corrigee_v16_tables_strict_fix.pdf,211,0.966,06e0690a2fb3962880e36adcfb8c1aac,Conserver,Version v16 strict_fix la plus avancée.,,repris depuis v1
Finalisé probable,TSTMG / STMG,Mots croisés Terminale STMG,mots_croises_terminale_stmg_v2.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/TSTMG/mots_croises_terminale_stmg_v2.pdf,7,0.064,6c040f9cef2f45d39ba64203502a6385,Conserver localement,Dernière version locale repérée.,À revoir seulement si une version ultérieure a été produite après suppression des répétitions.,repris depuis v1
Finalisé probable,TSTMG / STMG,TSTMG - Beamer log décimal,recap_log_decimal_une_slide_progressive_beamer_v6.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/TSTMG/recap_log_decimal_une_slide_progressive_beamer_v6.pdf,34,0.286,10897425a5ac853ebb8ce92183cff5f9,Conserver,"Version progressive avancée, cohérente avec les ajustements sur le Beamer log décimal.",,repris depuis v1
Finalisé probable,TSTMG / STMG,TSTMG - corrigés feuilles guidées,PACK_TSTMG_feuilles_guidees_corriges_v9.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/TSTMG/PACK_TSTMG_feuilles_guidees_corriges_v9.pdf,12,0.829,b20b1b86546d08b38c706ade2d3e0c02,Conserver comme corrigé associé probable,Dernière version du pack corrigés ; cohérente avec le pack élèves final.,Vérifier seulement si une version nommée FINAL des corrigés réapparaît.,repris depuis v1
Archive référence à conserver,CPGE,Préparation oraux analyse/algèbre v20m,preparation_oraux_analyse_algebre_v20m_version_finale_gelee.pdf,03_REFERENCES_A_CONSERVER/CPGE/preparation_oraux_analyse_algebre_v20m_version_finale_gelee.pdf,730,2.497,dcba8243e93b75520cef6268357a559f,Conserver hors livrables élèves,"Document massif en version finale gelée, utile comme corpus de référence ; ce n’est pas un PDF élève final car il contient Document de travail, indications et corrections.",Ne pas mettre dans documents élèves ; conserver dans sources/reference.,repris depuis v1
Finalisé probable,C1 / contrôles,C1 - énoncé contrôle,ctrl_c1_v038_enonces_AB_MEILLEURE_VERSION_LOCALE_COMPATIBLE_CORRIGE_v043.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/C1/ctrl_c1_v038_enonces_AB_MEILLEURE_VERSION_LOCALE_COMPATIBLE_CORRIGE_v043.pdf,6,0.211,a019d779c3fe007ef1a67fb867971d4e,"Conserver comme meilleure version locale, avec alerte",La version v0.40 attendue n’est pas présente dans les archives reçues. La v0.38 est le meilleur énoncé local et correspond au corrigé écrit v0.43 conservé.,Remplacer par v0.40 si elle est retrouvée plus tard ; sinon utiliser cette version comme énoncé local.,ajout depuis POINTS_A_TRAITER_v1
Finalisé probable,Parcours lycée,Première spé - parcours second degré corrigé,parcours_revision_second_degre_premiere_corriges_v3_aligne.pdf,02_VALIDES_PROBABLES_A_CONFIRMER/PARCOURS_LYCEE/parcours_revision_second_degre_premiere_corriges_v3_aligne.pdf,7,0.167,e67c5f8612eba805d7ee5cfe19fe7ff4,Corrigé v3 produit et aligné sur l’énoncé v3,"Le corrigé reprend les 35 questions flash, corrige les 8 QCM, puis corrige les sujets 2, 3 et le sujet 4 ajouté sur tableaux de signe et de variations.",À valider visuellement par l’utilisateur avant classement en finalisé certain.,nouveau document généré
